Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"MK Interior","MK Interior Pte Ltd","'+65 8310 1786",mkinterior.sg@gmail.com,"137 Kitchener Road #02-01 Singapore 208519","HDB (BTO)",Asian,30001-50000,"<div dir=""auto"">We Are Specialize In:- Residential &amp; Commercial</div>
<div dir=""auto"">Renovation/ Reinstatement, Hacking, Demolition, Disposal, Electrical Re-wiring, Painting, Plumbing, Vinyl Flooring, Parquet Varnish, Marble Flooring Polishing, Handyman Service And Many More</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/mk-interior/,https://renoresearch.sg/wp-content/uploads/2024/12/MK-Interior-Pte-Ltd-Logo.jpg,"MK Interior Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/MK-Interior-Pte-Ltd-Logo.jpg
"YIYA INTERIORS","YIYA INTERIORS PTE LTD","'+65 9026 9893",info@yiya.com.sg,"25 Kaki BUkit Road 5 #07-70 Synergy@KB Singapore 417800","HDB (BTO)",Asian,30001-50000,"<p><em>SG</em> local direct carpentry works all property type.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/yiya-interiors/,https://renoresearch.sg/wp-content/uploads/2024/12/Yiya-Interiors.png|https://renoresearch.sg/wp-content/uploads/2024/12/Yiya-Interiors-Pte-Ltd-Logo.png,"Yiya Interiors|Yiya Interiors Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Yiya-Interiors.png
"Lam's Interior Design","Lam's Interior Design","'+65 8800 4800",inquiry@lamsid.com,"53 Ubi Avenue 1, #05-09. Paya Ubi Industrial Park Singapore 408934","HDB (BTO)",Asian,30001-50000,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs x126k92a"">
<div dir=""auto"">
<p>Lam’s Interior Design is a local Singapore company helm by Jeff Lam with over 20 years of experiences in renovation. We believe in quality workmanship at affordable price. Since setting up our 3000 sqft factory in JB, we are able to offer a more competitive direct factory pricing for our home owners.</p>
<p>At Lam’s Interior Design, we offer full renovation services including Carpentry, Tiling, Hacking, False Ceiling, Electrical Works, Plumbing Works, Painting and Space Planning.</p>
<p>Benefits of working with a direct in-house carpentry offers a host of benefits that contribute to greater control over the quality and customization of the carpentry work.</p>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/lams-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/12/Lams-Interior-Design-Logo.jpg,"Lam's Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Lams-Interior-Design-Logo.jpg
"Hamid &amp; Sons Interior Design","Hamid &amp; Sons Interior Design","'+65 8784 8633",marketing@hamidnsons.com,"18 Marsiling Industrial Estate Road 9 #01-08 S739173","HDB (BTO)",Asian,30001-50000,"<p>Established in 1989, Hamid and Sons Interior Design is one of the longest running interior design firms in Singapore, with more than 50,000 successful residential and commercial projects completed. We believe in upgrading people’s living space through meaningful and remarkable home designs. From the start till the day of handover, our team is committed to deliver exquisite customer service, professional craftmanship and efficiency in delivering the best outcomes.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:4:""true"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/hamid-sons-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/12/Hamid-Sons-Interior-Design-Logo.png,"Hamid & Sons Interior Design Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Hamid-Sons-Interior-Design-Logo.png
"Our Interior","Our Interior Pte Ltd","'+65 8131 2121",hello@ourinterior.com.sg,"8 Kaki Bukit Avenue 4 #05-45 Premier @ Kaki Bukit Singapore 415875","HDB (BTO)",Asian,30001-50000,"<p>At Our Interior, we produce reasonably priced, high quality interior design and renovation work by transforming great ideas into reality to create beautiful and practical homes for satisfied home owners while taking care of all our workers'/sub-contractors' well-being.</p>
<p>Our Vision is to be the top interior design firm with our highly trained and motivated workers to produce quality work using proper techniques and quality materials in timely manner, ensuring minimal hassle to owners during renovation process and providing great after-sale support.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/our-interior/,https://renoresearch.sg/wp-content/uploads/2024/12/Our-Interior-Pte-Ltd-Logo.jpg,"Our Interior Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Our-Interior-Pte-Ltd-Logo.jpg
"Lineage Interior Tailor","Lineage Interior Tailor Pte Ltd","'+65 8168 9979",admin@LIT.com.sg,"8 Kaki Bukit Ave 4, #08-16, Singapore 415874","HDB (BTO)",Asian,30001-50000,"<p>Lineage Interior Tailor Singapore, offering a comprehensive design service</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/lineage-interior-tailor/,https://renoresearch.sg/wp-content/uploads/2024/12/Lineage-Interior-Tailor-Pte-Ltd-Logo.jpg,"Lineage Interior Tailor Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Lineage-Interior-Tailor-Pte-Ltd-Logo.jpg
Consouthern,"CONSOUTHERN PTE LTD. (UEN 202347301C)","'+65 8778 7866",'-,'-,"HDB (BTO)",Asian,30001-50000,"<p>We offer full <span class=""sqsrte-text-highlight"" data-text-attribute-id=""f656cb94-e6d6-45d2-9d5b-7ec3a1176a30""><span class=""sqsrte-text-color--lightAccent"">interior design </span><span class=""sqsrte-text-color--lightAccent"">services</span></span>, consultations are always complimentary. You can experience immersive 360-degree <span class=""sqsrte-text-highlight"" data-text-attribute-id=""5f1c6938-7a99-4b2d-a74c-675ffeaa56c5""><span class=""sqsrte-text-color--lightAccent"">virtual tours</span></span> and turn your ideas to life with us.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/consouthern/,https://renoresearch.sg/wp-content/uploads/2024/12/Consouthern-SG.png,"Consouthern SG",https://renoresearch.sg/wp-content/uploads/2024/12/Consouthern-SG.png
EDK,"EDK Pte Ltd","'+65 8827 6637",info@edk.sg,"684 Hougang Ave 8, #02-967 Singapore 530684","HDB (BTO)",Asian,30001-50000,"<p>At EDK, we believe that interior design is an art form that extends beyond the visual. It's about creating an emotional connection with your surroundings, a place where memories are made and cherished.</p>
<p>Our designs evoke feelings of warmth, comfort, and inspiration, making your home truly unique.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/edk/,https://renoresearch.sg/wp-content/uploads/2024/12/EDK-Pte-Ltd-Logo.jpg,"EDK Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/EDK-Pte-Ltd-Logo.jpg
"JOY &amp; LIFE STUDIO","JOY &amp; LIFE STUDIO","'+65 8373 7430",hellothere@joynlifestudio.com,"127B JALAN BESAR , S208845","HDB (BTO)",Asian,30001-50000,"<p>At Joy N Life, we offer comprehensive interior design services tailored to meet your unique needs. Our approach combines creativity with functionality, ensuring every space is both beautiful and practical.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/joy-life-studio/,https://renoresearch.sg/wp-content/uploads/2024/12/Joy-Life-Studio-Logo.jpeg,"Joy & Life Studio Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Joy-Life-Studio-Logo.jpeg
"Harmony Space Interior","Harmony Space Interior","'+65 8505 3038",enquiry@harmonyspaceinterior.com,"Northspring Bizhub  5 Yishun Industrial St 1 #02-01  SG768161","HDB (BTO)",Asian,30001-50000,"<div class=""elementor-element elementor-element-69612d8 elementor-widget elementor-widget-heading"" data-id=""69612d8"" data-element_type=""widget"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container"">
<p class=""elementor-heading-title elementor-size-default"">Welcome to Harmony Space Interior</p>
</div>
</div>
<div class=""elementor-widget-container"">
<p class=""elementor-heading-title elementor-size-default"">Transforming spaces, elevating lifestyles, bring your vision to life</p>
</div>
<div class=""elementor-element elementor-element-c6a2848 elementor-widget elementor-widget-text-editor"" data-id=""c6a2848"" data-element_type=""widget"" data-widget_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<p>At Harmony Space Interior, we specialize in crafting bespoke interiors that reflect the essence of our clients’ aspirations. With a passion for design excellence and a commitment to quality, our team of experienced professionals strives to create spaces that blend functionality with elegance.</p>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/harmony-space-interior/,https://renoresearch.sg/wp-content/uploads/2024/12/Harmony-Space-Interior.png,"Harmony Space Interior",https://renoresearch.sg/wp-content/uploads/2024/12/Harmony-Space-Interior.png
"Vika Design Lab","Vika Design Lab","'+65 8886 6998",sales@vikadesignlab.com,"1187 Upper Serangoon Road #01-30, The Mid Town S(533971)","HDB (BTO)",Asian,30001-50000,"<p class=""font_9 wixui-rich-text__text""><span class=""wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">Every home tells a story.</span></span></p>
<p class=""font_9 wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">At Vika Design Lab, we marry your story you want to tell with design and craftsmanship.</span></p>
<p class=""font_9 wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">With a team of experienced interior designers and our in-house workshop, Vika Design Lab is able to provide customized furnishings tailored to meet your specific needs and desires to realize your dream home from concept to building and furnishing. </span></p>
<p class=""font_9 wixui-rich-text__text""><span class=""color_15 wixui-rich-text__text"">Vika Design Lab - clean, classic and contemporary designs for your unique and timeless home.</span></p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/vika-design-lab/,https://renoresearch.sg/wp-content/uploads/2024/12/Vika-Design-Lab.jpg,"Vika Design Lab",https://renoresearch.sg/wp-content/uploads/2024/12/Vika-Design-Lab.jpg
"Hatch Design Studio","Hatch Design Studio Pte Ltd","'+65 8766 7613",hello@hatchdesign.sg,"62 Ubi Road 1, Oxley Bizhub 2 #01-19, Singapore 408734","HDB (BTO)",Asian,30001-50000,"<div id=""ebbf25e5-5283-4067-98e6-1f24dd918196"" class=""widget widget-about widget-about-about-1"">
<div id=""ebbf25e5-5283-4067-98e6-1f24dd918196"" class=""x-el x-el-div x-el c1-1 c1-2 c1-h c1-p c1-7 c1-8 c1-9 c1-a c1-6v c1-6w c1-6x c1-b c1-c c1-d c1-e c1-f c1-g c1-1 c1-2 c1-b c1-c c1-d c1-e c1-f c1-g"" role=""region"" data-ux=""Widget"">
<div>
<section class=""x-el x-el-section c1-1 c1-2 c1-h c1-6g c1-61 c1-b c1-c c1-l c1-m c1-d c1-e c1-f c1-g"" data-ux=""Section"">
<div class=""x-el x-el-div c1-1 c1-2 c1-35 c1-36 c1-s c1-t c1-1t c1-b c1-c c1-37 c1-d c1-38 c1-e c1-39 c1-f c1-3a c1-g"" data-ux=""Container"">
<div class=""x-el x-el-div x-el c1-1 c1-2 c1-70 c1-7v c1-b c1-c c1-d c1-e c1-f c1-g c1-1 c1-2 c1-11 c1-7w c1-7x c1-7y c1-12 c1-7z c1-80 c1-81 c1-b c1-c c1-82 c1-83 c1-84 c1-85 c1-d c1-e c1-f c1-g"" data-ux=""ContentCards"">
<div class=""x-el x-el-div c1-1 c1-2 c1-7w c1-86 c1-87 c1-88 c1-1t c1-1z c1-89 c1-8a c1-8b c1-11 c1-b c1-c c1-8c c1-8d c1-8e c1-8f c1-8g c1-8h c1-d c1-8i c1-8j c1-e c1-f c1-g"" data-ux=""GridCell"">
<div class=""x-el x-el-div x-el c1-1 c1-2 c1-p c1-11 c1-60 c1-z c1-70 c1-1a c1-4 c1-8k c1-8l c1-8m c1-86 c1-b c1-c c1-8n c1-8o c1-d c1-e c1-f c1-g c1-1 c1-2 c1-b c1-c c1-d c1-e c1-f c1-g"" data-ux=""ContentCard"">
<div class=""x-el c1-1 c1-2 c1-1m c1-1b c1-57 c1-12 c1-14 c1-58 c1-8v c1-8w c1-8x c1-8y c1-8z c1-90 c1-91 c1-92 c1-93 c1-94 c1-95 c1-96 c1-97 c1-98 c1-99 c1-9a c1-9b c1-9c c1-9d c1-9e c1-9f c1-9g c1-9h c1-9i c1-9j c1-9k c1-9l c1-9m c1-9n c1-9o c1-9p c1-9q c1-4 c1-86 c1-b c1-3o c1-c c1-42 c1-d c1-e c1-f c1-g x-rt"" data-ux=""ContentCardText"" data-aid=""ABOUT_DESCRIPTION_RENDERED1"" data-typography=""BodyAlpha"">
<p>At Hatch Design Studio, we believe that your living or working space should not just be a place, but a reflection of your unique personality and style. Our team of passionate and creative interior designers is dedicated to transforming your vision into reality, creating spaces that are not only visually stunning but also functional and comfortable.</p>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
</div>
</div>
<div id=""6d25f721-d10e-478b-991a-0332673f83b8"" class=""widget widget-content widget-content-content-10"">
<div id=""6d25f721-d10e-478b-991a-0332673f83b8"" class=""x-el x-el-div x-el c1-1 c1-2 c1-h c1-p c1-7 c1-8 c1-9 c1-a c1-6v c1-6w c1-6x c1-b c1-c c1-d c1-e c1-f c1-g c1-1 c1-2 c1-b c1-c c1-d c1-e c1-f c1-g"" role=""region"" data-ux=""Widget"">
<section class=""x-el x-el-section c1-1 c1-2 c1-h c1-6g c1-61 c1-b c1-c c1-l c1-m c1-d c1-e c1-f c1-g"" data-ux=""Section"">
<div class=""x-el x-el-div c1-1 c1-2 c1-35 c1-36 c1-s c1-t c1-1t c1-b c1-c c1-37 c1-d c1-38 c1-e c1-39 c1-f c1-3a c1-g"" data-ux=""Container"">
<div class=""x-el x-el-div c1-1 c1-2 c1-11 c1-7w c1-7x c1-7y c1-12 c1-7z c1-14 c1-81 c1-19 c1-7v c1-b c1-c c1-82 c1-83 c1-9w c1-85 c1-d c1-e c1-f c1-g"" data-ux=""Grid"">
<div class=""x-el x-el-div c1-1 c1-2 c1-7w c1-86 c1-87 c1-88 c1-1t c1-1z c1-89 c1-21 c1-8b c1-11 c1-z c1-b c1-c c1-9x c1-9y c1-8e c1-8f c1-9z c1-8h c1-d c1-a0 c1-a1 c1-e c1-f c1-g"" data-ux=""GridCell"">
<div id=""499f54ce-2b32-4a54-b518-48d51e171293"" class=""x-el x-el-div x-el c1-1 c1-2 c1-11 c1-60 c1-4 c1-8k c1-a2 c1-19 c1-8l c1-8m c1-b c1-c c1-8n c1-8o c1-d c1-e c1-f c1-g c1-1 c1-2 c1-b c1-c c1-d c1-e c1-f c1-g"" data-ux=""ContentBasic"">
<div class=""x-el c1-1 c1-2 c1-1m c1-1b c1-57 c1-12 c1-14 c1-58 c1-8v c1-8w c1-8x c1-8y c1-8z c1-90 c1-91 c1-92 c1-93 c1-94 c1-95 c1-96 c1-97 c1-98 c1-99 c1-9a c1-9b c1-9c c1-9d c1-9e c1-9f c1-9g c1-9h c1-9i c1-9j c1-9k c1-9l c1-9m c1-9n c1-9o c1-9p c1-9q c1-86 c1-b c1-3o c1-c c1-42 c1-d c1-e c1-f c1-g x-rt"" data-ux=""ContentText"" data-aid=""CONTENT_DESCRIPTION1_RENDERED"" data-typography=""BodyAlpha"">
<p>We understand that every client is different, and that is why we tailor our approach to meet your specific needs and preferences. Whether you are looking to redesign a single room or your entire home or office, our designers will work closely with you every step of the way to ensure that the final result exceeds your expectations.</p>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-12-31,member-list,https://renoresearch.sg/member-list/hatch-design-studio/,https://renoresearch.sg/wp-content/uploads/2024/12/Hatch-Design-Studio-Pte-Ltd-Logo.jpg,"Hatch Design Studio Pte Ltd Logo",https://renoresearch.sg/wp-content/uploads/2024/12/Hatch-Design-Studio-Pte-Ltd-Logo.jpg
